label,text
spam,"Your Capital One card was charged $1,200 at Best Buy. Reply YES if this was you."
spam,"Free government grant $37,000 available – no repayment. Apply now: [link]"
spam,"Your Verizon bill is past due $89.67. Pay now: [link]"
spam,"You won a cruise! Just pay port fees $199: [link]"
spam,"Your Bank of America account limited. Unlock here: [link]"
spam,"Hi Grandma, it’s your favorite grandson. I’m in jail, need bail money, don’t tell mom."
spam,"Your Amazon Prime membership expired. Renew for $9.99: [fake link]"
spam,"UPS: Your package requires $1.20 customs fee. Pay here: [link]"
spam,"Your PayPal account limited due to unusual activity. Resolve now: [link]"
spam,"Congratulations! You’re our 1,000,000th visitor – claim iPad: [link]"
spam,"Your debit card is locked. Call this number to reactivate: 1-855-xxx-xxxx"
spam,"Bitcoin investment opportunity – turn $500 into $50,000 in 7 days."
spam,"Your T-Mobile account suspended for non-payment. Restore: [link]"
spam,"You have a new secure message from HMRC (UK tax). View: [link]"
spam,"Your DoorDash account charged $187. Not you? Cancel transaction: [link]"
spam,"Free $500 Shein gift card – just complete short survey: [link]"
spam,"Your Wells Fargo online banking suspended. Log in to restore: [phishing site]"
spam,"Police warrant issued for your arrest due to tax evasion. Call to clear: 1-888-xxx-xxxx"
spam,"Your Netflix payment declined. Update card to continue watching: [link]"
spam,"You won $5,000 from Publishers Clearing House! Send $250 processing fee."
spam,"Your Xfinity service will be disconnected in 2 hours. Pay bill: [link]"
spam,"Emergency alert: Your SSN is linked to criminal activity. Call FBI agent: [number]"
spam,"Your Cash App weekly limit reached. Upgrade to receive $1,000 bonus: [link]"
spam,"Your eBay account suspended for suspicious selling. Verify: [link]"
spam,"Your student loan is eligible for forgiveness – apply free: [link asking SSN]"
spam,"Your Target order for AirPods canceled due to payment issue. Retry: [link]"
spam,"Your LinkedIn account will be deleted for inactivity. Log in now: [link]"
spam,"Free iPhone 15 giveaway by Verizon – enter here: [link]"
spam,"Your Citibank card locked after $900 Apple Store purchase. Approve or deny?"
spam,"You have $2,300 pending on PayPal payment. Accept here: [link]"
spam,"Your Adobe subscription renewed $599. Call to cancel and refund."
spam,"Your Uber account charged $140 for ride in Chicago. Dispute: [link]"
spam,"Your Dropbox full – upgrade storage for $1 first month: [link]"
spam,"Your McAfee subscription expired. Renew to stay protected: [link]"
spam,"Your Binance account locked. Verify KYC immediately: [link]"
spam,"Your Spectrum internet suspended. Reconnect now: [link]"
spam,"You won $1 million from Mega Millions! Contact claims agent."
spam,"Your AOL email will be terminated. Update info: [link]"
spam,"Your Chick-fil-A reward: Free meal for completing survey: [link]"
spam,"Your Discover card starting ****5678 used at Walmart $678. Reply NO if not you."
spam,"Your Etsy account has suspicious login from Ukraine. Secure now: [link]"
spam,"Your Comcast Xfinity: Past due balance. Pay to avoid cutoff: [link]"
spam,"Your Steam account compromised. Change password here: [fake steam link]"
spam,"Your Social Security benefits suspended. Call to reinstate: 1-800-xxx-xxxx"
spam,"Your Fidelity account limited. Log in to restore access: [link]"
spam,"Your TikTok account reported for community violation. Appeal: [link]"
spam,"Your Zelle payment of $900 failed. Retry here: [link]"
spam,"Your Geico insurance payment overdue. Update card: [link]"
spam,"Your Hulu subscription canceled due failed payment. Resubscribe: [link]"
spam,"Your Robinhood withdrawal of $5,000 on hold. Verify: [link]"
spam,"Your Amex card locked after $1,100 Nike purchase. Confirm?"
spam,"Your Temu order ready – pay $4.99 shipping for free items: [link]"
spam,"Your Vanguard account shows unauthorized login. Reset password: [link]"
spam,"Your Venmo account frozen. Upgrade to business to unlock: [link]"
spam,"Your Costco membership expired. Renew for $5 first month: [link]"
spam,"Your Cash App flipped $200 → $2,000 successful. Try again? Send $300."
spam,"Your US Bank account restricted. Call fraud department: [fake number]"
spam,"Your TurboTax refund approved $4,821. Deposit here: [link asking bank login]"
spam,"Your Xbox Live subscription auto-renewed $119. Call to cancel."
spam,"Your Best Buy order for MacBook shipped. Track: [malware link]"
spam,"Your PNC Bank card declined at gas station. Unlock here: [link]"
spam,"Your Shopify store suspended for policy violation. Reinstate: [link]"
spam,"Your Santander account locked. Verify identity: [link]"
spam,"Your Marriott rewards: 50,000 free points – redeem: [link]"
spam,"Your Ally Bank transfer of $3,000 failed. Retry: [link]"
spam,"Your Expedia booking confirmed – pay remaining $89: [link]"
spam,"Your Chime account limited. Verify SSN to unlock: [link]"
spam,"Your Navy Federal card starting ****9012 used $850 Amazon. Not you?"
spam,"Your Disney+ payment failed. Update billing: [link]"
spam,"Your Truist account suspended. Restore online banking: [link]"
spam,"Your Coinbase withdrawal blocked for security. Complete KYC: [link]"
spam,"Your Lowe’s gift card $500 free – complete offer: [link]"
spam,"Your TD Bank debit card locked. Call this number: [spoofed]"
spam,"Your Peacock subscription canceled. Resubscribe $1.99/mo: [fake]"
spam,"Your Fifth Third Bank alert: Unusual login from China. Secure account: [link]"
spam,"Your Kraken account restricted. Verify now: [link]"
spam,"Your Sam’s Club membership renewal $10 today only: [link]"
spam,"Your Barclays card payment overdue. Pay now: [link]"
spam,"Your BlockFi account compromised. Move funds immediately: [fake link]"
spam,"Your Regions Bank online access revoked. Restore: [link]"
spam,"Your Paramount+ free trial ended. Continue for $0.99: [link]"
spam,"Your Huntington Bank fraud alert $1,200 transfer. Approve?"
spam,"Your SoFi account locked after failed login attempts. Reset: [link]"
spam,"Your Old Navy order $278 ready for pickup. Confirm: [link]"
spam,"Your Citizens Bank card frozen. Call fraud line: [fake number]"
spam,"Your Binance.US verification required within 48h or account closure."
spam,"Your Wayfair order shipped – track with $3 insurance fee: [link]"
spam,"Your KeyBank account limited. Log in to fix: [phishing]"
spam,"Your Apple Cash $1,000 pending. Accept here: [link]"
spam,"Your Santander UK sort code changed. Update details: [link]"
spam,"Your SunTrust (now Truist) alert: Card used $950. Reply YES/NO"
spam,"Your Webull account restricted. Deposit $100 to unlock bonus."
spam,"Your Macy’s gift card $750 waiting. Activate: [link]"
spam,"Your PNC fraud alert: $800 ATM withdrawal not you? Call now."
spam,"Your Rocket Mortgage pre-approved $300k. Apply in 2 min: [link]"
spam,"Your Ally auto loan payment overdue. Pay to avoid repo."
spam,"Your Charles Schwab login from new device. Was this you?"
spam,"Your USAA account locked for security review. Unlock: [link]"
spam,"Your Navy Federal transfer $2,500 failed. Retry payment."
spam,"Your Credit One card payment declined. Update info: [link]"
spam,"Your First Premier Bank account past due. Pay $35 min."
spam,"Your Green Dot card blocked. Call customer service: [fake]"
spam,"Your Netspend account frozen. Load $50 to reactivate."
spam,"Your RushCard limited. Verify identity with photo ID upload."
spam,"Your ACE Elite card suspended. Call this toll-free number."
spam,"Your Mango card locked. Pay $4.95 reactivation fee."
spam,"Your H&R Block Emerald card restricted. Call now."
spam,"Your PayPower card declined. Reload to continue use."
spam,"Your account has been charged $399 for Geek Squad renewal. Call to dispute."
spam,"Your computer is infected with 17 viruses. Call Microsoft support now: 1-888-xxx-xxxx"
spam,"Final warning: Your car warranty is about to expire. Press 1 to speak to agent."
spam,"You’ve been overcharged on taxes – refund $2,187 ready. Click to claim."
spam,"Your account will be charged $999 for iCloud storage unless you call to cancel."
spam,"Police recorded your IP address visiting illegal sites. Pay fine in Bitcoin."
spam,"Your photo was posted on dark web. Pay $2,000 BTC to remove."
spam,"Your boss needs you to buy $500 in eBay cards right now for a client."
spam,"I’m a US soldier in Afghanistan, need help me move $8M inheritance."
spam,"Nigerian prince needs your help to transfer $25 million – small fee required."
spam,"You won Spanish lottery even though you didn’t play. Contact agent."
spam,"Romance scam: “I love you baby, send me $300 for plane ticket to meet you.”"
spam,"Your grandson in hospital after car crash, needs money for surgery, please don’t tell parents."
spam,"Your email sent spam to all contacts. Click to secure account."
spam,"Your domain expires tomorrow. Renew for $79 or lose it."
spam,"Your YouTube channel copyright strike. Pay $500 to remove."
spam,"Your credit card on file with Pornhub. Cancel subscription: [link]"
spam,"Your bank routing number exposed in data breach. Change immediately."
spam,"Your password was found on dark web. Reset all accounts now: [link]"
spam,"Free COVID grant $50,000 from FEMA. Apply here with SSN."
spam,"Your stimulus check $3,200 ready. Finalize direct deposit: [link]"
spam,"Your Medicare card deactivated. Call to reactivate: [fake CMS number]"
spam,"Your food stamps (SNAP) benefits suspended. Call to fix."
spam,"Your unemployment benefits stopped due fraud. Appeal here."
spam,"Your Section 8 voucher expiring. Renew online: [link asking SSN]"
spam,"Your life insurance policy canceled for non-payment. Reinstate now."
spam,"Your health insurance premium overdue. Pay to keep coverage."
spam,"Your electric bill past due – service cutoff in 24h. Pay here."
spam,"Your landlord needs rent via Cash App today because bank is down."
spam,"Your loan approved $10,000 same-day deposit. Pay $150 advance fee."
spam,"Your mortgage payment bounced. Pay $1,800 immediately to avoid foreclosure."
spam,"Your car title loan due. Pay $400 or vehicle repossessed tomorrow."
spam,"Your payday loan rollover fee $250 due today."
spam,"Your Timeshare exit team can get you out for $4,999 upfront."
spam,"Your student loan payment paused – but need $299 processing fee."
spam,"Your SBA loan approved $150k. Pay $500 legal fee first."
spam,"Your crypto wallet hacked. Send all coins to this address to recover."
spam,"Your Ledger hardware wallet needs firmware update. Enter seed here: [fake site]"
spam,"Your MetaMask compromised. Connect wallet to secure site: [drainer link]"
spam,"Your Phantom wallet shows 5 SOL incoming. Approve transaction to receive."
spam,"Your Trust Wallet needs to “sync” – enter 12-word phrase."
spam,"Your OpenSea account has suspicious activity"
spam,"KYC Alert: Your Aadhaar-PAN link will expire in 24 hours. Update now: [link]"
spam,"SBI Alert: Your account blocked due to suspicious activity. Verify: [link]"
spam,"Congratulations! You won ₹5,00,000 in KBC Lucky Draw. Send ₹8,500 processing fee."
spam,"Income Tax Refund ₹18,670 approved. Claim before 48hrs: [link]"
spam,"Your Jio number will be disconnected tonight. Recharge ₹49 to keep active: [link]"
spam,"HDFC Bank: ₹9,500 debited from your A/c XXXX4567 at Amazon. Not you? Call 98xxxxxx12"
spam,"Dear customer, your ATM card blocked. Call immediately 86xxxxxx09"
spam,"Your Google Pay account will be deleted. Verify OTP sent to alternate number."
spam,"IRCTC: Your Tatkal ticket confirmed. Pay ₹250 extra convenience fee: [link]"
spam,"Axis Bank: Your credit card blocked. Update PAN immediately: [link]"
spam,"Mam/Sir aapka Paytm KYC incomplete hai. ₹25,000 daily limit band ho jayega: [link]"
spam,"Bhai mera phone toot gaya, yeh naya number hai. Muje Paytm se ₹15,000 urgent bhej do."
spam,"Your EPF balance ₹1,28,000 ready for withdrawal. Complete KYC: [link]"
spam,"PM Kisan 16th installment ₹2,000 pending. Update bank details: [link]"
spam,"Electricity bill pending ₹4,872. Pay now or connection cut tomorrow: [link]"
spam,"Gas cylinder subsidy ₹985 not credited because Aadhaar not linked. Fix here: [link]"
spam,"Your PAN card deactivated by Income Tax Dept. Reactivate: [link]"
spam,"Dear customer aapke SBI account se ₹50,000 ka transaction hua hai. Galat hai to call 70xxxxxx01"
spam,"Lucky draw winner! You won Tata Safari. Pay only ₹12,500 registration fee."
spam,"Amazon KYC pending. Your account will be closed in 2 hours: [link]"
spam,"Your Aadhaar linked mobile number changed without permission. Secure now: [link]"
spam,"ICICI Bank: Fraudulent transaction ₹18,999. Call fraud department 90xxxxxx77"
spam,"Mummy mera phone gir gaya, yeh temporary number hai. PhonePe se ₹10,000 bhej do please."
spam,"GST refund ₹42,000 approved for your business. Pay ₹3,200 processing: [link]"
spam,"Your Kotak811 account frozen. Upload selfie with PAN to unlock."
spam,"RTO fine ₹5,500 pending on your vehicle DLxxxxxxx Pay here: [link]"
spam,"Your Airtel SIM will stop working in 4 hours. Dial 400amount# to save number."
spam,"Flipkart Lucky Draw: You won iPhone 15. Pay ₹4,999 shipping only."
spam,"Dear customer your Canara Bank debit card expires today. Renew: [link]"
spam,"Papa jail mein hoon, lawyer ko ₹50,000 CashApp pe bhej do, mummy ko mat batana."
spam,"Your UPI ID blocked by NPCI. Complete mandate: [link]"
spam,"Post Office RD matured ₹3,50,000. Claim with ₹6,500 tax."
spam,"Your Adhar card used for 7 new SIM cards. Block fraud: [link]"
spam,"Reliance Jio Fiber bill ₹1,299 overdue. Pay or service stop."
spam,"You won ₹25 lakh in Dream11 lucky draw. Send PAN & ₹15,000 tax."
spam,"Bank of Baroda: ₹25,000 transferred to Paytm wallet. Wrong? Call 84xxxxxx22"
spam,"Your FASTag balance low. Recharge ₹500 to avoid double toll."
spam,"Mausi hospital mein admit hain, ₹30,000 urgent PhonePe kar do."
spam,"Your PNB account will be closed for KYC failure. Update now: [link]"
spam,"Free recharge ₹555 – just port your number to new Vi SIM."
spam,"Your Bajaj Finserv EMI bounced. Pay ₹499 penalty to avoid CIBIL drop."
spam,"Delhi Police: Case filed against you for money laundering. Call 62xxxxxx55"
spam,"Your IndusInd credit card blocked after ₹32,000 transaction at BigBasket."
spam,"Sir aapka parcel customs mein ruk gaya. ₹18,000 clearance fee pay karo."
spam,"You are selected for Indian Army GD. Pay ₹8,200 for medical & form."
spam,"Your LIC policy will lapse tomorrow. Pay premium ₹9,800 online: [link]"
spam,"WhatsApp will charge ₹0.50 per message from tomorrow. Forward this to 10 people."
spam,"Your Voter ID cancelled because Aadhaar not linked. Update here: [link]"
spam,"Sir aapke name pe 5 crore ka loan approve ho gaya. ₹25,000 processing fee."
spam,"Your PhonePe wallet limited to ₹1,000. Complete full KYC: [link]"
spam,"Mukesh Ambani giving ₹5 lakh to every Indian. Register: [link]"
spam,"Your Swiggy account hacked. ₹8,500 order placed. Cancel here: [link]"
spam,"Ma’m aapke SBI account se 45,000 rupaye nikal gaye. Jaldi call kariye 80xxxxxx11"
spam,"Your Groww demat account suspended. Verify PAN & selfie."
spam,"Free ₹10,000 Amazon Pay balance – just add ₹500 first."
spam,"Your Zee5 subscription renewed ₹999. Call 88xxxxxx00 to cancel & refund."
spam,"Sir car accident ho gaya, hospital mein hoon, ₹40,000 urgent bhej do."
spam,"Your Aadhaar used to open 12 bank accounts. Block immediately: [link]"
spam,"HDFC Life policy bonus ₹1,80,000 ready. Pay ₹9,500 service charge."
spam,"Your UPI PIN reset required by RBI new rules. Set new PIN: [link]"
spam,"Congratulations! You won ₹3.5 crore in IPL lucky draw by Dhoni."
spam,"Your Ration card cancelled for not updated Aadhaar. Renew: [link]"
spam,"Papa lawyer bol rahe hain ₹75,000 bail ke liye, Gift card se bhej do."
spam,"Your Yes Bank account debited ₹29,999 for Netflix yearly. Wrong? Call now."
spam,"Free data 10GB Jio – click this APK to activate."
spam,"Your CIBIL score dropped to 520 because EMI miss. Fix for ₹999."
spam,"Sir aapka gold loan auction ho raha hai tomorrow. Pay ₹18,000 interest."
spam,"Your BHIM UPI blocked by government. Re-activate: [link]"
spam,"Ma’m police station se bol rahe hain, aapka beta pakda gaya hai."
spam,"Your Paytm Payments Bank closed by RBI. Transfer balance to new account."
spam,"Your Meesho lucky draw winner – ₹1,00,000 gift card. Pay ₹3,200 GST."
spam,"Sir aapke name pe drugs parcel seize hua Dubai customs mein."
spam,"Your Kotak credit card reward points expiring. Redeem ₹15,000 cashback: [link]"
spam,"Free ₹500 recharge on every ₹299 plan – limited offer by Airtel."
spam,"Your Axis ASAP account frozen for KYC. Upload Aadhaar front & back."
spam,"Sir aapka phone tap ho raha hai CBI ne. Safe number pe call kariye."
spam,"Your Amazon order iPhone 16 cancelled due to payment issue. Retry: [link]"
spam,"Your PM Awas Yojana ₹1,60,000 pending. Pay ₹4,200 registration."
spam,"Sir mera accident ho gaya London mein, ₹80,000 Western Union se bhej do."
spam,"Your Canara Bank YONO app login from Bihar. Not you? Block card."
spam,"Free Netflix 1 year – just pay ₹149 activation."
spam,"Your Aadhaar linked with fraud case in Mumbai. Call cyber cell 77xxxxxx44"
spam,"Sir aapke PAN se ₹80 lakh ka loan liya gaya hai. Clear record pay ₹25,000."
spam,"Your JioFiber shifted to postpaid. Pay ₹999 security deposit."
spam,"Lucky winner! You won ₹10 lakh from BigBasket. Pay ₹8,500 tax."
spam,"Your Bank of India account dormant. Reactivate with ₹2,500 minimum balance."
spam,"Sir mera kidney fail ho gaya, treatment ke liye ₹1,00,000 chahiye."
spam,"Your GST number suspended. Pay ₹15,000 penalty online."
spam,"Your IndusInd Pioneer account blocked. Call relationship manager 95xxxxxx88"
spam,"Free ₹1,000 wallet cash – just complete 5 offers."
spam,"Your Adhaar card blocked by UIDAI. Update biometric: [link]"
spam,"Sir aapka video viral ho raha hai wrong website pe. ₹20,000 de do delete kar dunga."
spam,"Your EPFO claim rejected. Pay ₹6,800 correction fee."
spam,"Your PPF account matured ₹8,50,000. Pay ₹12,000 TDS to withdraw."
spam,"Your UBER ride ₹1,850 not paid. Pay or police complaint."
spam,"Sir aapke daughter ka accident ho gaya college mein. Hospital bhej do ₹35,000."
spam,"Your Aadhaar-PF link failed. ₹2,000 fine or no withdrawal."
spam,"Your HDFC credit card upgraded to Regalia. Pay ₹2,500 annual fee."
spam,"Sir customs ne aapka iPhone parcel rok liya. ₹22,000 duty pay karo."
spam,"Your Paytm KYC expired. Daily limit ₹1,000 only now."
spam,"Free 1 year Gaana Plus – just pay ₹99 processing."
spam,"Your SBI reward points 15,000 expiring. Convert to cash: [link]"
spam,"Sir mera phone chori ho gaya Turkey mein, ₹50,000 bhej do return ticket ke liye."
spam,"Your RBL credit card blocked after ₹45,000 transaction at Ajio."
spam,"Your Aadhaar used for money laundering case in Delhi. Call 91xxxxxx33"
spam,"Sir aapke name pe 3 SIM active hain fraud ke liye. Block karo."
spam,"Your PMJJBY claim ₹2 lakh approved. Pay ₹3,300 legal fee."
spam,"Your Google Pay scratched ₹5,000 reward. Claim in 2 hours."
spam,"Sir aapka bank account NPA declare ho raha hai. ₹18,000 settle kar do."
spam,"Your Vi number ported to BSNL without permission. Stop here: [link]"
spam,"Your Kotak Mahindra debit card blocked. Call 1800-xxxx-xxx"
spam,"Sir mera naya business hai, ₹50,000 invest karo 1 month mein double."
spam,"Your Income Tax notice issued for ₹1,28,000. Pay online avoid jail."
spam,"Your Amazon Pay ICICI card reward ₹8,000 pending. Activate."
spam,"Sir police raid karne wali hai aapke ghar pe drugs case mein."
spam,"Your Aadhaar linked to 9 bank accounts fraud. Freeze now."
spam,"Your PNB Housing loan approved ₹25 lakh. Pay ₹18,500 processing."
spam,"Sir aapki photo adult site pe upload ho gayi. ₹15,000 do delete karwa dunga."
spam,"Your JioPostpaid bill ₹2,499 pending. Pay or number block."
spam,"Your Axis Bank privilege account downgrade warning. Maintain ₹5 lakh balance."
spam,"Sir aapke wife ka accident ho gaya, blood chahiye urgent ₹25,000."
spam,"Your UPI transaction failed due to new RBI rule. Update app: [fake APK]"
spam,"Your SBI CSP point registration fee ₹8,999 only today."
spam,"Your PM Kisan 17th kist ₹2,000 blocked. Update eKYC."
spam,"Sir mera passport expire ho gaya Dubai mein, ₹60,000 bhej do."
spam,"Your Paytm First membership renewed ₹499. Call to cancel."
spam,"Your Aadhaar card blacklisted. White list for ₹4,500."
spam,"Your HDFC Regalia card annual fee ₹10,000 debited. Reverse call 1800-xxxx"
spam,"Sir aapke name pe cyber crime case register ho gaya."
spam,"Your Freecharge wallet ₹5,000 bonus waiting. Add ₹500 first."
spam,"Your Airtel Black membership free for 1 year – pay ₹299 activation."
spam,"Sir aapka parcel Mumbai customs mein hai iPhone 15. ₹19,500 release fee."
spam,"Your EPF withdrawal ₹3,45,000 approved. Pay ₹9,800 TDS."
spam,"Your Axis ASAP zero-balance account closed. Reopen with ₹10,000."
spam,"Sir mera army camp mein phone allow nahi, yeh temporary number hai, ₹20,000 bhej do."
spam,"Your GST return not filed. ₹25,000 penalty notice issued."
spam,"Your PhonePe daily limit reduced to ₹5,000. Full KYC with Aadhaar OTP."
spam,"Your PNR confirmed WL1 to RAC. Pay ₹450 for confirmed seat."
spam,"Sir aapke son ka kidnapping ho gaya, ₹5 lakh ransom mang rahe hain."
spam,"Your Kotak 811 full KYC pending. Account freeze in 24hrs."
spam,"Your Income Tax return processed. Refund ₹28,450 pending bank update."
spam,"Sir aapki beti pregnant hai college mein, ₹1 lakh do case mat karo."
spam,"Your Jio number added to TRAI DND violation list. Remove for ₹999."
spam,"Your SBI debit card used ₹38,000 at Flipkart. Not you? Call now."
spam,"Sir aapke name pe 4 crore ka insurance claim approve hua hai."
spam,"Your Aadhaar biometric lock failed. Visit center or pay ₹2,500 home service."
spam,"Your Paytm Soundbox rental ₹199/month auto-debited. Cancel call 1800-xxxx"
spam,"Sir mera accident ho gaya Philippines mein, hospital bill ₹90,000."
spam,"Your PM Suraksha Bima claim ₹2 lakh ready. Pay ₹4,200 processing."
spam,"Your UPI ID deactivated by NPCI. Reactivate with new VPA. "
spam,"Sir aapka video ban gaya hai wrong website pe, ₹30,000 do delete."
spam,"Your Axis Bank salary account converted to regular. Maintain ₹25,000 balance."
spam,"Your KBC winner ₹25,00,000. Pay ₹18,500 conversion charge."
spam,"Sir aapke bank mein drug money aaya hai CBI freeze kar rahi hai."
spam,"Your Aadhaar linked mobile number deactivated. Reverify with OTP."
spam,"Your Groww mutual fund redemption on hold. Verify PAN."
spam,"Sir mera naya startup hai, ₹1 lakh invest karo 6 months mein 10 lakh."
spam,"Your Delhi Metro card blocked. Recharge ₹200 to unblock."
spam,"Your ICICI Lombard policy lapsed. Pay ₹8,500 to continue coverage."
spam,"Sir aapke name pe call girl booking hui hai police aa rahi hai."
spam,"Your JioFiber speed reduced to 1Mbps. Upgrade plan ₹999."
spam,"Your Paytm Postpaid ₹5,000 limit activated. Use now pay later."
spam,"Sir aapka accident ho gaya bolke fraud kar rahe log, mujhe ₹40,000 bhej do."
spam,"Your Aadhaar used to take ₹15 lakh personal loan. Check CIBIL."
spam,"Your SBI YONO blocked after 3 wrong attempts. Reset here."
spam,"Sir mera phone band ho gaya army camp mein, ₹25,000 canteen ke liye."
spam,"Your PM Awas Yojana list mein name aaya hai. ₹6,500 registration."
spam,"Your UPI mandate failed. Re-authorize ₹10,000 monthly."
spam,"Sir aapki nude video viral ho rahi hai, ₹50,000 do band karwa dunga."
spam,"Your Kotak debit card expired. New card activation fee ₹299."
spam,"Your Airtel DTH recharge failed. Pay ₹450 for HD pack."
spam,"Sir mera kidney transplant hai, ₹3 lakh chahiye urgent."
spam,"Your PAN card blocked by IT department. Pay ₹8,500 penalty."
spam,"Your Amazon account locked for KYC. Upload Aadhaar."
spam,"Sir aapke name pe terrorist funding case laga hai CBI ne."
spam,"Your Jio prepaid validity ending in 2 hours. Recharge ₹666 to continue."
spam,"Your Paytm wallet seized under FEMA. Transfer to new wallet."
spam,"Sir mera international roaming band hai, ₹30,000 bhej do call kar saku."
spam,"Your Aadhaar e-KYC failed at bank. Visit branch or pay ₹1,500 home visit."
spam,"Your SBI credit card reward 12,000 points expiring. Redeem now."
spam,"Sir aapka flat seal ho raha hai loan EMI miss hone se."
spam,"Your Google Pay Tez shot ₹1,000 cashback. Send ₹500 first."
spam,"Your Axis Bank NRI account frozen. Complete FATCA declaration."
spam,"Sir mera army leave cancel ho gaya, ₹35,000 chahiye ghar aane."
spam,"Your Income Tax raid tomorrow at your address. Settle ₹2 lakh."
spam,"Your Vi postpaid converted to prepaid. Pay ₹299 conversion fee."
spam,"Sir aapki wife ke saath wrong video hai mere pass, ₹1 lakh do."
spam,"Your EPFO pension stopped. Pay ₹5,500 correction charge."
spam,"Your Kotak securities demat frozen. Pay ₹2,999 annual maintenance."
spam,"Sir aapke bank se black money nikal raha hai IT department."
spam,"Your Aadhaar linked to fraud Amazon account. Remove link."
spam,"Your Jio number selected for free 1-year recharge. Register ₹199."
spam,"Sir mera phone jail mein allow nahi, ₹60,000 bail ke liye."
spam,"Your Paytm KYC video verification pending. Do live call now."
spam,"Your SBI account negative balance ₹-8,500. Deposit or legal action."
spam,"Sir aapke name pe 2 crore ka lottery laga hai Dubai mein."
spam,"Your Aadhaar biometric not updated since 2018. ₹2,200 fine."
spam,"Your Axis credit card lifetime free offer ending. Pay ₹5,000 to continue LTF."
spam,"Sir mera cancer stage 4 hai, treatment ke liye ₹5 lakh chahiye."
spam,"Your PAN-Aadhaar not linked = ₹10,000 penalty from 1st April. Link now: [fake IT site]"
ham,"Hey, are we still on for lunch today?"
ham,"Can you send me the report by 5 PM?"
ham,"Happy Birthday! Hope you have a great day."
ham,"I'll be there in 10 minutes."
ham,"Don't forget to buy milk on your way home."
ham,"Meeting rescheduled to tomorrow at 10 AM."
ham,"Your package has been delivered to your front porch."
ham,"Your appointment is confirmed for Friday at 2 PM."
ham,"Please review the attached document and let me know your thoughts."
ham,"Let's catch up this weekend."
ham,"The code for the gate is 1234."
ham,"Can you pick up the kids from school?"
ham,"I'm running late, start without me."
ham,"Did you see the game last night?"
ham,"Thanks for your help yesterday."
ham,"Your verification code is 4829."
ham,"Your Uber is arriving in 2 minutes."
ham,"Your table is ready."
ham,"Your flight has been delayed by 30 minutes."
ham,"Reminder: Dentist appointment tomorrow at 9 AM."
